en,counts
5.86821312,10236
5.87821212,10977
5.88821112,11542
5.89821012,11753
5.90820912,11619
5.91820812,11333
5.92820712,10671
5.93820612,9904
5.94820512,8972
5.95820412,7786
5.96820312,6630
5.97820212,5538
5.98820112,4465
5.99820012,3581
6.00819912,2836
6.01819812,2215
6.02819712,1553
6.03819612,1162
6.04819512,810
6.05819412,594
6.06819312,416
6.07819212,301
6.08819112,249
6.09819012,131
6.10818912,21
6.11818812,17
6.12818712,46
6.13818612,61
6.14818512,88
6.15818412,113
6.16818312,111
6.17818212,85
6.18818112,103
6.19818012,126
6.20817912,185
6.21817812,202
6.22817712,280
6.23817612,447
6.24817512,619
6.25817412,897
6.26817312,1200
6.27817212,1674
6.28817112,2235
6.29817012,2885
6.30816912,3813
6.31816812,4776
6.32816712,5894
6.33816612,6884
6.34816512,7872
6.35816412,9054
6.36816312,10097
6.37816212,10847
6.38816112,11570
6.39816012,11853
6.40815912,11919
6.41815812,11802
6.42815712,11344
6.43815612,10707
6.44815512,9855
6.45815412,8757
6.46815312,7621
6.47815212,6700
6.48815112,5745
6.49815012,4796
6.50814912,3959
6.51814812,3177
6.52814712,2540
6.53814612,1996
6.54814512,1508
6.55814412,1241
6.56814312,927
6.57814212,666
6.58814112,487
6.59814012,344
6.60813912,272
6.61813812,182
6.62813712,116
6.63813612,60
6.64813512,49
6.65813412,108
6.66813312,45
6.67813212,0
6.68813112,11
6.69813012,46
6.70812912,87
6.71812812,0
6.72812712,37
6.73812612,128
6.74812512,201
6.75812412,297
6.76812312,424
6.77812212,615
6.78812112,985
6.79812012,1427
6.80811912,1833
6.81811812,2326
6.82811712,2951
6.83811612,3946
6.84811512,4963
6.85811412,5879
6.86811312,7037
6.87811212,7972
6.88811112,8770
6.89811012,9610
6.90810912,10166
6.91810812,10645
6.92810712,10825
6.93810612,10578
6.94810512,10405
6.95810412,9966
6.96810312,9226
6.97810212,8397
6.98810112,7613
6.99810012,6767
7.00809912,5835
7.01809812,4965
7.02809712,4279
7.03809612,3716
7.04809512,3194
7.05809412,2781
7.06809312,2374
7.07809212,1985
7.08809112,1607
7.09809012,1329
7.10808912,1144
7.11808812,932
7.12808712,766
7.13808612,623
7.14808512,434
7.15808412,309
7.16808312,180
7.17808212,87
7.18808112,0
7.19808012,30
7.20807912,0
7.21807812,5
7.22807712,23
7.23807612,0
7.24807512,27
7.25807412,15
7.26807312,0
7.27807212,35
7.28807112,159
7.29807012,173
7.30806912,314
7.31806812,543
7.32806712,820
7.33806612,1143
7.34806512,1529
7.35806412,2121
7.36806312,2713
7.37806212,3399
7.38806112,4233
7.39806012,5104
7.40805912,6075
7.41805812,7134
7.42805712,8077
7.43805612,8714
7.44805512,9444
7.45805412,10025
7.46805312,10236
7.47805212,10330
7.48805112,10105
7.49805012,9753
7.50804912,9232
7.51804812,8376
7.52804712,7456
7.53804612,6760
7.54804512,5847
7.55804412,4918
7.56804312,4216
7.57804212,3670
7.58804112,3155
7.59804012,2670
7.60803912,2357
7.61803812,2125
7.62803712,1950
7.63803612,1830
7.64803512,1570
7.65803412,1411
7.66803312,1277
7.67803212,1136
7.68803112,1004
7.69803012,946
7.70802912,832
7.71802812,709
7.72802712,566
7.73802612,382
7.74802512,218
7.75802412,94
7.76802312,72
7.77802212,52
7.78802112,59
7.79802012,0
7.80801912,0
7.81801812,60
7.82801712,0
7.83801612,0
7.84801512,87
7.85801412,170
7.86801312,198
7.87801212,364
7.88801112,590
7.89801012,826
7.90800912,1139
7.91800812,1543
7.92800712,1990
7.93800612,2531
7.94800512,3257
7.95800412,4056
7.96800312,4822
7.97800212,5697
7.98800112,6376
7.99800012,7052
8.00799912,7693
8.01799812,8226
8.02799712,8622
8.03799612,8853
8.04799512,8927
8.05799412,8648
8.06799312,8207
8.07799212,7768
8.08799112,7128
8.09799012,6355
8.10798912,5714
8.11798812,5100
8.12798712,4416
8.13798612,3619
8.14798512,3027
8.15798412,2461
8.16798312,2061
8.17798212,1862
8.18798112,1751
8.19798012,1648
8.20797912,1459
8.21797812,1341
8.22797712,1423
8.23797612,1552
8.24797512,1522
8.25797412,1407
8.26797312,1376
8.27797212,1398
8.28797112,1318
8.29797012,1236
8.30796912,1183
8.31796812,1166
8.32796712,1021
8.33796612,825
8.34796512,742
8.35796412,677
8.36796312,644
8.37796212,533
8.38796112,434
8.39796012,387
8.40795912,332
8.41795812,333
8.42795712,263
8.43795612,234
8.44795512,376
8.45795412,441
8.46795312,498
8.47795212,828
8.48795112,1180
8.49795012,1455
8.50794912,1905
8.51794812,2440
8.52794712,3054
8.53794612,3693
8.54794512,4447
8.55794412,5304
8.56794312,6040
8.57794212,6763
8.58794112,7551
8.59794012,8093
8.60793912,8555
8.61793812,9019
8.62793712,9119
8.63793612,9112
8.64793512,8941
8.65793412,8523
8.66793312,8022
8.67793212,7410
8.68793112,6697
8.69793012,6036
8.70792912,5246
8.71792812,4387
8.72792712,3683
8.73792612,3085
8.74792512,2511
8.75792412,1939
8.76792312,1600
8.77792212,1347
8.78792112,1112
8.79792012,953
8.80791912,970
8.81791812,918
8.82791712,870
8.83791612,996
8.84791512,1061
8.85791412,1095
8.86791312,1169
8.87791212,1175
8.88791112,1165
8.89791012,1218
8.90790912,1301
8.91790812,1371
8.92790712,1234
8.93790612,1077
8.94790512,986
8.95790412,981
8.96790312,902
8.97790212,793
8.98790112,773
8.99790012,601
9.00789912,505
9.01789812,430
9.02789712,389
9.03789612,352
9.04789512,304
9.05789412,291
9.06789312,174
9.07789212,199
9.08789112,248
9.09789012,216
9.10788912,209
9.11788812,161
9.12788712,129
9.13788612,100
9.14788512,252
9.15788412,335
9.16788312,220
9.17788212,143
9.18788112,170
9.19788012,225
9.20787912,232
9.21787812,240
9.22787712,179
9.23787612,200
9.24787512,278
9.25787412,306
9.26787312,349
9.27787212,281
9.28787112,177
9.29787012,293
9.30786912,372
9.31786812,288
9.32786712,276
9.33786612,275
9.34786512,233
9.35786412,232
9.36786312,259
9.37786212,258
9.38786112,243
9.39786012,278
9.40785912,309
9.41785812,290
9.42785712,412
9.43785612,523
9.44785512,497
9.45785412,531
9.46785312,666
9.47785212,813
9.48785112,925
9.49785012,948
9.50784912,1021
9.51784812,1160
9.52784712,1205
9.53784612,1287
9.54784512,1323
9.55784412,1319
9.56784312,1357
9.57784212,1432
9.58784112,1444
9.59784012,1259
9.60783912,1307
9.61783812,1281
9.62783712,1114
9.63783612,1028
9.64783512,876
9.65783412,725
9.66783312,761
9.67783212,719
9.68783112,540
9.69783012,483
9.70782912,413
9.71782812,319
9.72782712,325
9.73782612,371
9.74782512,398
9.75782412,329
9.76782312,307
9.77782212,315
9.78782112,266
9.79782012,247
9.80781912,227
9.81781812,227
9.82781712,162
9.83781612,109
9.84781512,112
9.85781412,188
9.86781312,240
9.87781212,163
9.88781112,162
9.89781012,221
9.90780912,287
9.91780812,203
9.92780712,219
9.93780612,221
9.94780512,124
9.95780412,282
9.96780312,306
9.97780212,223
9.98780112,248
9.99780012,323
10.00779912,297
10.01779812,192
10.02779712,159
10.03779612,266
10.04779512,295
10.05779412,186
10.06779312,169
10.07779212,163
10.08779112,216
10.09779012,244
10.10778912,189
10.11778812,219
10.12778712,215
10.13778612,214
10.14778512,249
10.15778412,247
10.16778312,314
10.17778212,289
10.18778112,275
10.19778012,229
10.20777912,252
10.21777812,330
10.22777712,376
10.23777612,364
10.24777512,375
10.25777412,327
10.26777312,252
10.27777212,229
10.28777112,222
10.29777012,270
10.30776912,329
10.31776812,301
10.32776712,248
10.33776612,225
10.34776512,262
10.35776412,322
10.36776312,311
10.37776212,305
10.38776112,392
10.39776012,451
10.40775912,331
10.41775812,266
10.42775712,334
10.43775612,375
10.44775512,341
10.45775412,315
10.46775312,258
10.47775212,283
10.48775112,338
10.49775012,177
10.50774912,211
10.51774812,270
10.52774712,268
10.53774612,252
10.54774512,253
10.55774412,365
10.56774312,394
10.57774212,342
10.58774112,365
10.59774012,471
10.60773912,413
10.61773812,330
10.62773712,368
10.63773612,369
10.64773512,330
10.65773412,338
10.66773312,340
10.67773212,329
10.68773112,309
10.69773012,291
10.70772912,370
10.71772812,288
10.72772712,250
10.73772612,365
10.74772512,312
10.75772412,304
10.76772312,361
10.77772212,314
10.78772112,333
10.79772012,330
10.80771912,226
10.81771812,254
10.82771712,265
10.83771612,199
10.84771512,182
10.85771412,257
10.86771312,311
10.87771212,317
10.88771112,320
10.89771012,357
10.90770912,421
10.91770812,334
10.92770712,345
10.93770612,328
10.94770512,335
10.95770412,358
10.96770312,324
10.97770212,256
10.98770112,265
10.99770012,298
11.00769912,315
11.01769812,266
11.02769712,354
11.03769612,394
11.04769512,315
11.05769412,287
11.06769312,275
11.07769212,342
11.08769112,379
11.09769012,302
11.10768912,198
11.11768812,143
11.12768712,242
11.13768612,284
11.14768512,241
11.15768412,300
11.16768312,259
11.17768212,267
11.18768112,328
11.19768012,268
11.20767912,337
11.21767812,313
11.22767712,248
11.23767612,314
11.24767512,289
11.25767412,226
11.26767312,227
11.27767212,265
11.28767112,220
11.29767012,199
11.30766912,160
11.31766812,183
11.32766712,344
11.33766612,287
11.34766512,209
11.35766412,268
11.36766312,219
11.37766212,219
11.38766112,239
11.39766012,281
11.40765912,182
11.41765812,162
11.42765712,198
11.43765612,247
11.44765512,282
11.45765412,271
11.46765312,312
11.47765212,198
11.48765112,161
11.49765012,178
11.50764912,263
11.51764812,278
11.52764712,257
11.53764612,207
11.54764512,143
11.55764412,131
11.56764312,154
11.57764212,154
11.58764112,228
11.59764012,232
11.60763912,212
11.61763812,180
11.62763712,236
11.63763612,254
11.64763512,228
11.65763412,206
11.66763312,314
11.67763212,266
11.68763112,188
11.69763012,106
11.70762912,162
11.71762812,271
11.72762712,162
11.73762612,146
11.74762512,255
11.75762412,258
11.76762312,221
